Genus,Group1,Group2,Occurrences,T_FAD,T_LAD,T_FAD50,T_LAD50,LnMass,LnIBIL
Arretotherium,Artiodactyla,Anthracotheriidae,13,26.34,16.74,27.26,15.99,11.97,6.22
Cosoryx,Artiodactyla,Antilocapridae,115,15.77,9.3,15.79,9.26,9.73,5.68
Hexameryx,Artiodactyla,Antilocapridae,10,7.1,4.78,7.29,4.47,10.33,5.82
Ilingoceros,Artiodactyla,Antilocapridae,7,8.5,5.3,9.14,4.92,10.8,5.94
Merriamoceros,Artiodactyla,Antilocapridae,6,16.7,15.2,17.04,15.01,9.63,5.65
Merycodus,Artiodactyla,Antilocapridae,181,19.15,7.45,19.2,7.42,9.26,5.56
Osbornoceros,Artiodactyla,Antilocapridae,5,10.79,6.1,12.1,4.86,9.76,5.68
Paracosoryx,Artiodactyla,Antilocapridae,50,17.43,11.08,17.53,11,9.51,5.62
Plioceros,Artiodactyla,Antilocapridae,40,14,5.6,14.14,5.51,9.8,5.69
Ramoceros,Artiodactyla,Antilocapridae,40,15.55,9.75,15.62,9.63,10.01,5.74
Sphenophalos,Artiodactyla,Antilocapridae,28,7.95,4.78,8.03,4.66,10.46,5.85
Texoceros,Artiodactyla,Antilocapridae,30,8.25,4.93,8.36,4.82,9.76,5.68
Aepycamelus,Artiodactyla,Camelidae,85,18.15,6.93,18.22,6.86,12.86,6.44
Alforjas,Artiodactyla,Camelidae,24,12.11,4.85,12.28,4.52,12.92,6.45
Australocamelus,Artiodactyla,Camelidae,3,17.35,13.3,20.93,10.47,11.52,6.11
Blickomylus,Artiodactyla,Camelidae,18,18.74,16.13,18.82,15.99,9.74,5.68
Floridatragulus,Artiodactyla,Camelidae,5,17.99,13.65,19.38,12.67,10.85,5.95
Gentilicamelus,Artiodactyla,Camelidae,3,27.32,24.85,28.51,23.04,9.94,5.73
Hesperocamelus,Artiodactyla,Camelidae,5,18.15,10.75,21.19,7.98,12.78,6.42
Megacamelus,Artiodactyla,Camelidae,7,8.55,5.08,9.19,4.45,14.46,6.83
Megatylopus,Artiodactyla,Camelidae,97,11.8,4.71,11.84,4.64,14.14,6.75
Michenia,Artiodactyla,Camelidae,72,22.87,7.7,23.09,7.59,11.3,6.06
Miolabis,Artiodactyla,Camelidae,51,20.42,10.5,20.75,10.33,12.39,6.32
