Name,Status,Log10 mass (g),Area-corrected mass,Continent
Acinonyx jubatus,S,4.668,-1.894,Africa
Acratocnus odontrigonus,E,4.519,-1.924,Sth America
Addax nasomaculatus,S,4.845,-1.718,Africa
Aepyceros melampus,S,4.748,-1.815,Africa
Ailuropoda melanoleuca,S,4.942,-1.621,Africa
Ailurus fulgens,S,3.716,-2.981,Asia
Alcelaphus buselaphus,S,5.132,-1.431,Africa
Alcelaphus Lichtensteini,S,5.236,-1.327,Africa
Alces alces,S,5.66,-0.856,Nth America
Allouatta palliata,S,3.778,-2.664,Sth America
Alopex lagopus,S,3.699,-2.817,Nth America
Alouatta caraya,S,3.792,-2.65,Sth America
Alouatta fusca,S,3.903,-2.539,Sth America
Alouatta palliata,S,3.812,-2.631,Sth America
Alouatta seniculus,S,3.765,-2.678,Sth America
Alouatta villosa,S,3.903,-2.539,Sth America
Ammodorcas clarkei,S,4.449,-2.114,Africa
Amnotragus lervia,S,5.041,-1.521,Africa
Anoa depressicornis,S,5.178,-1.519,Asia
Antidorcas australis,E,4.477,-2.086,Africa
Antidorcas bondi,E,4.531,-2.031,Africa
Antidorcas marsupialis,S,4.591,-1.972,Africa
Antilocapra americana,S,4.833,-1.684,Nth America
Antilope cervicapra,S,4.568,-1.995,Africa
Aonyx capensis,S,4.128,-2.435,Africa
Archaeoindris fontoynontii,E,5.301,-0.371,Madagascar
Archeolemur edwardsi,E,4.342,-1.329,Madagascar
Archeolemur majori,E,4.23,-1.441,Madagascar
Arctictis binturonga,S,4.204,-2.493,Asia
Arctodus pristinus,E,5.477,-1.039,Nth America
Arctodus simus,E,5.699,-0.817,Nth America
Ateles belzebuth,S,3.699,-2.744,Sth America
Ateles geoffroyi,S,3.903,-2.539,Sth America
Ateles paniscus,S,3.954,-2.488,Sth America
Axis axis,S,4.833,-1.864,Asia
Babakotia radofilai,E,4.176,-1.496,Madagascar
Babyrousa babyrussa,S,4.734,-1.963,Asia
Bison antiquus,E,6.006,-0.51,Nth America
Bison bison,S,5.625,-0.891,Nth America
Bison bonasus,S,5.95,-0.747,Europe
Bison latifrons,E,6.015,-0.501,Nth America
Bison priscus,E,5.719,-0.978,Europe
Blastoceros dichotomus,S,5.037,-1.405,Sth America
Bohra paulae,E,4.544,-1.708,Australia
Bootherium bombifrons,E,5.877,-0.639,Nth America
Bos gaurus,S,5.866,-0.831,Asia
Bos indicus,S,5.653,-1.044,Asia
Bos javanicus,S,5.74,-0.956,Asia
Bos mutus gunniens,S,5.556,-1.141,Asia
Bos primigenius,S,5.43,-1.133,Africa
Bos sauveli,S,5.903,-0.794,Asia
Boselaphus tragocamelus,S,5.255,-1.308,Africa
Brachyteles arachnoides,S,4.041,-2.401,Sth America
Bubalis depressicornis,S,5.352,-1.345,Asia
Bubalus arnee,S,5.797,-0.9,Asia
Bubalus bubalis,S,5.653,-1.044,Asia
Budorcas taxicolor,S,5.398,-1.299,Asia
Camelops hesternus,E,5.998,-0.518,Nth America
Camelus bactrianus,S,5.736,-0.826,Africa
Camelus dromedarius,S,5.604,-0.959,Africa
Camelus knoblochi,E,5.74,-0.956,Asia
Camelus thomasi,E,5.602,-0.961,Africa
Canis adustus,S,3.908,-2.654,Africa
Canis aureus,S,3.968,-2.728,Asia
Canis dirus,E,4.602,-1.914,Nth America
Canis latrans,S,4.041,-2.475,Nth America
Canis lupus,S,4.653,-2.044,Europe
Canis mesomelas,S,3.874,-2.689,Africa
Canis rufus,S,4.396,-2.167,Africa
Capra aegagrus,S,4.778,-1.919,Asia
Capra caucasica,S,4.74,-1.956,Asia
Capra cylindricornis,S,4.875,-1.822,Asia
Capra falconeri,S,4.948,-1.749,Asia
Capra hircus,S,4.602,-2.095,Europe
Capra ibex,S,4.964,-1.733,Europe
Capreolus capreolus,S,4.505,-2.192,Asia
Capreolus pygargus,S,4.641,-1.921,Africa
Capricornis crispus,S,4.477,-2.22,Asia
Capricornis sumatrensis,S,5.008,-1.689,Asia
Capromeryx minor,E,4.322,-2.194,Nth America
Castor canadensis,S,4.36,-2.156,Nth America
Castor fiber,S,4.248,-2.449,Europe
Castoroides ohioensis,E,5.255,-1.261,Nth America
Catagonus wagneri,S,4.544,-1.898,Sth America
Cephalophus callipygus,S,4.303,-2.26,Africa
Cephalophus dorsalis,S,4.324,-2.238,Africa
Cephalophus leucogaster,S,4.104,-2.459,Africa
Cephalophus monticola,S,3.699,-2.864,Africa
Cephalophus natalensis,S,4.146,-2.417,Africa
Cephalophus niger,S,4.25,-2.312,Africa
Cephalophus nigrifons,S,4.143,-2.42,Africa
Cephalophus ogilbyi,S,4.301,-2.262,Africa
Cephalophus rufilatus,S,4.083,-2.48,Africa
Cephalophus spadix,S,4.756,-1.941,Asia
Cephalophus sylvicultor,S,4.816,-1.747,Africa
Ceratotherium simum,S,6.279,-0.284,Africa
Cercocebus albigena,S,3.866,-2.697,Africa
Cercocebus galeritus,S,3.892,-2.671,Africa
Cercocebus torquatus,S,3.903,-2.66,Africa
Cercopithecus ascanius,S,3.719,-2.844,Africa
