genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Aboletylestes,sp.,58.700,55.800,2,0,NaN
Aceratherium,albigense,33.900,28.400,1,0,NaN
Aceratherium,aurelianense,13.650,11.100,1,0,NaN
Aceratherium,fahlbuschi,16.900,15.970,1,0,NaN
Aceratherium,incisivum,13.650,7.246,15,1,0.0023
Aceratherium,incissivum,11.608,5.332,1,0,NaN
Aceratherium,kowalev,11.608,7.246,1,0,NaN
Aceratherium,persima,11.608,7.246,1,0,NaN
Aceratherium,platyodon,16.900,13.650,5,2,0.0550
Aceratherium,schlosseri,11.608,7.246,3,1,0.7500
Aceratherium,simorrense,15.970,8.700,4,0,NaN
Aceratherium,simplex,11.608,7.246,1,0,NaN
Aceratherium,sp.,16.900,3.200,10,1,1.0000
Aceratherium,tetradactylum,15.970,11.608,3,0,NaN
Aceratherium,zernovi,12.700,11.608,1,0,NaN
Achtiaria,expectans,12.700,11.608,1,0,NaN
Acinacodus,tagaricus,130.000,112.030,1,1,0.0833
Acinonyx,pardinensis,3.200,0.126,17,5,0.0952
Acinonyx,sp.,2.588,0.781,1,0,NaN
Acotherulum,campichii,40.400,37.200,1,0,NaN
Acotherulum,pumilum,37.200,33.900,3,1,0.0417
Acotherulum,quercyi,37.200,28.400,2,0,NaN
Acotherulum,saturninum,37.200,33.900,5,1,0.0141
Acotherulum,sp.,37.200,33.900,2,0,NaN
Adapisorex,gaudryi,58.700,55.800,1,0,NaN
Adapisorex,sp.,61.700,55.800,2,1,1.0000
Adapisoriculus,minimus,58.700,55.800,1,0,NaN
Adapisoriculus,sp.,65.500,48.600,2,0,NaN
Adapis,collinsonae,40.400,37.200,1,0,NaN
Adapis,laharpei,40.400,37.200,1,0,NaN
Adapis,parisiensis,40.400,33.900,10,4,0.0468
Adapis,sp.,40.400,33.900,5,0,NaN
Adapis,sudrei,40.400,37.200,1,0,NaN
Adcrocuta,eximia,8.700,5.332,2,0,NaN
Adelomyarion,cornelii,28.400,23.030,1,0,NaN
Adelomyarion,sp.,28.400,23.030,1,0,NaN
Adelomyarion,vireti,28.400,23.030,7,0,NaN
Adelpharctos,mirus,33.900,28.400,1,0,NaN
Aegialodon,dawsoni,140.200,136.400,2,2,0.1826
Aegyrcitherium,beonensis,16.900,15.970,1,0,NaN
Afrodon,germanicus,61.700,55.800,4,0,NaN
Afrodon,gheerbranti,65.500,58.700,1,0,NaN
Afrodon,ivani,58.700,55.800,2,0,NaN
Afrodon,sp.,58.700,55.800,2,0,NaN
Ageina,sp.,55.800,48.600,1,0,NaN
Ageina,tobieni,55.800,48.600,1,0,NaN
Agerinia,roselli,48.600,40.400,2,0,NaN
Agerinia,sp.,55.800,48.600,1,0,NaN
Aglaocetus,burtinii,11.608,2.588,3,0,NaN
Aglaocetus,latifrons,15.970,5.332,3,0,NaN
Aglaocetus,longifrons,13.650,11.608,2,0,NaN
Aglaocetus,rotundus,11.608,7.246,2,0,NaN
Agnotherium,grivense,16.900,15.970,1,0,NaN
Agnotherium,grivensis,15.970,13.650,2,0,NaN
Agriocetus,austriacus,28.400,23.030,1,0,NaN
Agriocetus,sp.,28.400,23.030,1,0,NaN
