species,checked,part,measure,value,source,notes,name
Aceratherium albigense,x,,,,,,
Aceratherium aurelianense,x,,,,,,
Aceratherium fahlbuschi,x,,,,,,
Aceratherium incissivum,x,,,,,spell,Aceratherium incisivum
Aceratherium kowalev,x,,,,,,
Aceratherium persima,x,,,,,,
Aceratherium platyodon,x,skull,length,58,Mermier 1895 Ann Soc Linn de Lyon,,
Aceratherium schlosseri,x,,,,,,
Aceratherium simplex,x,,,,,,
Aceratherium tetradactylum,x,M2,area,2304.3672,Santafe-Llopis 1982 Acta Geologica Hispanica,,
Aceratherium zernovi,x,m1,area,1159.88,Kaya and Heissig 2001 Geobios,spell,Acerorhinus zernowi
Achaenodon fremdi,x,,mass,774100,McKenna 2011 Ms Thesis,,
Achaenodon insolens,x,m2,length,25.45,Janis et al 1998,,
Achaenodon uintensis,x,m1,area,775,Lucas et al 2004 New Mexico Museum of Natural History and Science Bulletin,notes,
Acheronictis webbi,x,M1,area,13.2325,PBDB,,
Acheronodon garbani,x,p4,area,1.0395,Archibald 1982 University of California Publications in Geological Sciences,,
Achtiaria expectans,x,,,,,alt,Palaeotragus
Aclistomycter middletoni,x,M1,area,135.45,PBDB,,
Acotherulum campichii,x,m1,area,17.76,Cuesta Ruiz-Colmenares et al 2006 Revista Espanola de Paleontologia,,
Acotherulum pumilum,x,m1,area,11.44,Erfut and Metais Ch 5 Endemic European Paleogene Artiodactyls in Prothero and Foss 2007 The Evolution of Artiodactyls,,
Acotherulum quercyi,x,m1,area,34.58,Cuesta Ruiz-Colmenares et al 2006 Revista Espanola de Paleontologia,,
Acotherulum saturninum,x,m1,area,25.2,Cuesta Ruiz-Colmenares et al 2006 Revista Espanola de Paleontologia,,
Acritohippus stylodontus,x,M1,area,546.75,PBDB,,
Acritohippus tertius,x,utrl,length,111,Kelly 1998 Natural History Museum of Las Angeles County,,
Acritoparamys pattersoni,x,m1,area,9.0746,PBDB,,
Acritoparamys wyomingensis,x,m1,area,7.0216,PBDB,,
Adapis collinsonae,x,,,,,,
Adapis laharpei,x,,mass,1700,Masters et al 2007 J Biogeography,,
Adapis parisiensis,x,,mass,2400,Gingerich and Martin 1981 American Journal of Physical Anthropology,,
Adapis sudrei,x,,mass,1260,Ramdarshan et al 2012 American J Physical Anthropology,,
Adapisorex gaudryi,x,,,,,,
Adapisoriculus minimus,x,,,,,,
Adelomyarion cornelii,x,,mass,41.34,Freudenthal and Martin-Suarez 2013 Scripta Geologica,alt?,
Adelomyarion vireti,x,,mass,38.38,Freudenthal and Martin-Suarez 2013 Scripta Geologica,,
Adelpharctos mirus,x,m1,area,154.4,de Bonis 2011 Estudios Geologicos,,
Adjidaumo burkei,x,m1,area,0.72,PBDB,,
Adunator fredericki,x,,,,,,
Adunator martinezi,x,,,,,,
Aegyrcitherium beonensis,x,m1,area,1305,Antoine 1997 N Jb Geol Palaont Abh,,
Aepinacodon americanus,x,M2,area,809.2,PBDB,,
Aepinacodon deflectus,x,M2,area,715.44,Macdonald 1956 J Paleontology,,
Aepycamelus alexandrae,x,M1,area,491.15,PBDB,,
Aepycamelus bradyi,x,M2,area,922.04,PBDB,,
Aepycamelus giraffinus,x,M2,area,901.44,PBDB,,
Aepycamelus major,x,,,,,,
Afrodon germanicus,x,m1,area,1.1178,Gheerbrant and Russell 1989 Palaeogeography Palaeoclimatology Palaeoecology,,
Afrodon ivani,x,m2,area,1.152,Lopez-Martinez and Pelaez-Campomanes 1999 Bull Soc geol France,,
Agerinia roselli,x,,,,,,
Agnotherium grivensis,x,m1,area,483.3,Ginsburg 2002 Annales de Paleontologie,,
Agriochoerus crassus,x,,,,,,
Agriochoerus gaudryi,x,,,,,,
Agriochoerus guyotianus,x,,mass,59000,McKenna 2011 Ms Thesis,,
Agriochoerus maximus,x,m1,length,0.19,Scott and Jepsen 1940 Transactions American Phil Soc,strange,
Agriotherium intermedium,x,m1,area,758.5,Stach 1957 Acta Palaeontologica Polonica,,
Ailuravus michauxi,x,,,,,,
Ailuravus picteti,x,,,,,,
Ailuravus stehlinschaubi,x,,,,,,
Albanensia sansaniensis,x,,,,,,
Albanohyus pigmeum,x,m2,length,10,Gagnaison 2013 Geodiversitas,spell,Albanohyus pygmaeum
Albanohyus pigmeus,x,,,,,spell,Albanohyus pygmaeum
Albanohyus pygmaeum,x,,,,,,
Alces fossilis,x,,mass,272800,PBDB,,
Alces giganteus,x,,,,,,
Alces maeoticus,x,,,,,,
Alicornops alfambrense,x,,,,,,
Alicornops simorrense,x,m1,area,742.56,Santafe-Llopis 1982 Acta Geologica Hispanica,,
Alilepus browni,x,,,,,,
Alilepus dietrichi,x,,,,,,
