genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Aaptoryctes,ivyi,58.2,55.800,3,1,0.5000
Abelmoschomys,simpsoni,11.5,11.5,1,0,NaN
Absarokius,abbotti,53.8,46.200,41,4,0.0432
Absarokius,gazini,53.1,53.1,3,0,NaN
Absarokius,metoecus,54.3,46.200,32,6,0.0217
Absarokius,sp.,54.3,53.8,1,1,0.0588
Acarictis,ryani,55.6,54.8,8,1,0.0145
Achaenodon,fremdi,39.6,39.6,1,0,NaN
Achaenodon,insolens,45.2,45.1,1,0,NaN
Achaenodon,robustus,45.2,45.1,7,0,NaN
Achaenodon,sp.,46.200,40.400,2,0,NaN
Achaenodon,uintensis,45.0,44.7,2,1,1.0000
Acheronictis,webbi,24.8,24.7,1,0,NaN
Acheronodon,garbani,65.1,65.1,1,0,NaN
Acheronodon,sp.,63.300,60.4,2,0,NaN
Achlyoscapter,longirostris,14.7,13.8,2,0,NaN
Achlyoscapter,sp.,15.970,4.900,2,0,NaN
Acidomomys,hebeticus,56.6,56.6,1,0,NaN
Aclistomycter,middletoni,38.1,33.900,5,0,NaN
Acmeodon,secans,61.7,60.4,18,0,NaN
Acmeodon,sp.,62.1,59.5,4,0,NaN
Acratocnus,odontrigonus,2.588,0.012,1,0,NaN
Acritohippus,isonesus,18.3,14.7,45,0,NaN
Acritohippus,quinni,16.6,14.9,16,0,NaN
Acritohippus,stylodontus,16.9,14.3,17,0,NaN
Acritohippus,tertius,20.430,15.970,1,0,NaN
Acritoparamys,atwateri,56.800,53.0,26,10,0.0309
Acritoparamys,francesi,55.3,46.200,7,0,NaN
Acritoparamys,pattersoni,53.9,52.4,5,0,NaN
Acritoparamys,sp.,55.8,52.1,4,0,NaN
Acritoparamys,wyomingensis,50.3,48.5,10,0,NaN
Adeloblarina,berklandi,15.970,13.600,2,0,NaN
Adeloblarina,sp.,18.1,18.1,1,0,NaN
Adelphailurus,kansensis,8.5,7.1,3,0,NaN
Adelphailurus,sp.,8.4,6.8,2,0,NaN
Adilophontes,brachykolos,20.9,20.8,3,0,NaN
Adjidaumo,burkei,37.200,33.900,4,0,NaN
Adjidaumo,craigi,40.400,37.200,1,0,NaN
Adjidaumo,intermedius,35.9,33.9,5,0,NaN
Adjidaumo,maximus,34.7,33.300,3,1,0.1277
Adjidaumo,minimus,37.2,33.6,15,1,0.0382
Adjidaumo,minutus,37.3,33.3,25,0,NaN
Adjidaumo,sp.,37.9,31.8,11,2,0.0064
Adunator,fredericki,63.300,61.700,1,0,NaN
Adunator,ladae,63.300,59.8,7,0,NaN
Adunator,martinezi,63.300,61.700,1,0,NaN
Aelurodon,asthenostylus,20.430,13.7,11,0,NaN
Aelurodon,ferox,17.1,12.0,51,1,0.0606
Aelurodon,mcgrewi,15.970,12.9,9,0,NaN
Aelurodon,montanensis,15.970,13.600,1,0,NaN
Aelurodon,sp.,15.970,11.8,11,4,0.0304
Aelurodon,stirtoni,14.0,12.0,9,1,0.0303
Aelurodon,taxoides,12.3,4.900,62,3,0.1135
Aepinacodon,americanus,35.8,33.8,5,0,NaN
Aepinacodon,deflectus,35.5,35.5,1,0,NaN
Aepinacodon,sp.,40.400,37.200,1,0,NaN
Aepycamelus,alexandrae,16.9,13.600,5,0,NaN
Aepycamelus,bradyi,11.7,11.6,1,1,0.0256
Aepycamelus,giraffinus,13.1,12.0,1,0,NaN
Aepycamelus,major,11.8,9.0,5,0,NaN
Aepycamelus,robustus,13.8,12.2,11,1,0.0303
Aepycamelus,sp.,19.6,8.9,52,5,0.0335
Aepycamelus,stocki,13.7,13.7,2,0,NaN
Aethomylos,simplicidens,50.300,42.8,17,6,0.1152
Aethomylos,sp.,42.9,42.8,1,0,NaN
Aetiocetus,cotylalveus,33.900,23.030,5,4,0.8409
Aetiocetus,weltoni,28.400,23.030,1,1,1.0000
Agabelus,sp.,15.970,13.650,1,0,NaN
Ageina,sp.,50.300,46.200,1,0,NaN
Ageina,tobieni,52.1,52.1,1,0,NaN
Ageitodendron,matthewi,50.300,46.200,1,0,NaN
Aglaocetus,sp.,15.970,11.608,2,0,NaN
Agnotocastor,coloradensis,33.3,26.300,2,0,NaN
Agnotocastor,galushai,35.7,35.6,1,0,NaN
Agnotocastor,montanus,28.3,28.2,1,0,NaN
Agnotocastor,praetereadens,33.6,31.2,2,0,NaN
Agnotocastor,readingi,33.4,33.4,2,0,NaN
Agnotocastor,sp.,37.200,24.7,11,2,0.0194
Agorophius,pygmaeus,33.900,28.400,1,1,1.0000
Agriochoerus,antiquus,38.4,33.4,14,0,NaN
Agriochoerus,crassus,46.200,40.400,1,0,NaN
Agriochoerus,gaudryi,32.6,32.5,1,0,NaN
Agriochoerus,guyotianus,33.900,28.4,5,0,NaN
Agriochoerus,maximus,39.4,35.9,5,0,NaN
Agriochoerus,sp.,40.0,25.3,26,5,0.0971
Agriotherium,schneideri,13.650,1.800,9,0,NaN
Agriotherium,sp.,10.3,6.3,14,0,NaN
Aguascalientia,sp.,21.0,21.0,1,1,0.2500
Aguascalientia,wilsoni,18.0,18.0,1,1,0.3500
Aivukus,cedrosensis,7.246,5.332,2,1,1.0000
Alagomys,russelli,56.800,55.800,1,1,0.0348
Albertocetus,meffordorum,28.400,23.030,1,1,0.5000
Albireo,savagei,3.600,2.588,1,0,NaN
Albireo,sp.,7.246,5.332,1,1,0.1667
Albireo,whistleri,7.246,5.332,3,3,0.4807
Alces,alces,0.02987,0.02987,4,0,NaN
Alces,sp.,1.800,0.300,1,0,NaN
Aletodon,conardae,58.9,55.800,2,1,0.0030
Aletodon,gunnelli,56.8,55.8,20,0,NaN
