Species,insularity,log mass,body mass reference,Phylogeny reference
Capromeryx minor,no,4.32,Brook & Bowman 2004,Janis & Manning 1998
Stockoceros conklingi,no,4.72,Brook & Bowman 2004,Janis & Manning 1998
Tetrameryx shuleri,no,4.79,Brook & Bowman 2004,Janis & Manning 1998
Capromeryx mexicana,no,4.18,Smith et al. 2003,Janis & Manning 1998
Stockoceros onusrosagris,no,4.74,Smith et al. 2003,Janis & Manning 1998
Bison antiquus,no,6.01,Brook & Bowman 2004,Geraards 1992
Bison latifrons,no,6.02,Brook & Bowman 2004,Geraards 1992
Bos primigenius,no,5.97,"Meloro et al., 2007",Geraards 1992
Bison priscus,no,5.95,Smith et al. 2003,Geraards 1992
Pelorovis antiquus,no,6,Smith et al. 2003,Geraards 1992
Bootherium bombifrons,no,5.88,Brook & Bowman 2004,McDonald & Ray 1989
Euceratherium collinum,no,5.7,Brook & Bowman 2004,McDonald & Ray 1989
Symbos cavifrons,no,5.6,Smith et al. 2003,McDonald & Ray 1989
Megalotragus priscus,no,5.3,Smith et al. 2003,Vrba 1979
Antidorcas australis,no,4.6,Smith et al. 2003,placed with A. marsupialis
Antidorcas bondi,no,4.53,Smith et al. 2003,placed with A. marsupialis
Oreamnos harringtoni,no,4.88,Smith et al. 2003,placed with O. americanus
Camelus thomasi,no,5.7,Smith et al. 2003,Feranec 2003
Hemiauchenia macrocephala,no,5.04,Smith et al. 2003,Feranec 2003
Hemiauchenia paradoxa,no,6,Smith et al. 2003,Feranec 2003
Palaeolama mirifica,no,4.9,Smith et al. 2003,Feranec 2003
Dusicyon australis,yes,4.699,Brook & Bowman 2004,Zrzavy & Rikankova 2003
Dusicyon avus,no,4.11,Smith et al. 2003,Zrzavy & Rikankova 2003
Isolobodon portoricensis,yes,3.1,"Nowak 1999, It is a conservative estimate as this species was probably larger than P. aedium",Woods et al. 2001
Plagiodontia ipnaeum,yes,3.1,"Nowak 1999, It is a conservative estimate as this species was probably larger than P. aedium",Woods et al. 2001
Hexolobodon phenax,yes,3.75,"Nowak 1999, It is suggested it was the size of Capromys pilorides",Woods et al. 2001
Isolobodon montanus,yes,3.1,"Nowak 1999, reportedly Isolobodon was the same size of Plagiodontia",Woods et al. 2001
Castoroides ohioensis,no,5.18,Smith et al. 2003,placed sister to C. fiber
Praemegaceros cretensis,yes,4.9,based on size ratio as reported in Raia & Meiri 2006,"Croitor 2004, Raia & Meiri 2006"
Praemegaceros ropalophorus,yes,4.476,based on size ratio as reported in Raia & Meiri 2006,"Croitor 2004, Raia & Meiri 2006"
Praemegaceros cazioti,yes,4.845,estimate from Burness et al. 2001,"Croitor 2004, Raia & Meiri 2006"
Megaloceros giganteus,no,5.59,"Meloro et al., 2007",Lister et al. 2005
Cervus astylodon,yes,4.267,"Matsumoto & Otsuka 2000; Based on the cubic ratio of radius length as compared to Cervus nippon multiplied by the size of the latter. The morhotype used for comparison is  G4 , which is the stratigraphically youngest.",
Cervalces scotti,no,5.8,Smith et al. 2003,placed sister to Alces
Sinomegaceros yabei,yes,5.589,"van der Made & Tong 2008 state S. yabei is  large, possibly as large as  M. giganteus",
Dasypus bellus,no,4.65,Smith et al. 2003,"Gaudin 2003, Vizcaino 2009"
Holmesina septentrionalis,no,5.4,Smith et al. 2003,"Gaudin 2003, Vizcaino 2009"
Holmesina occidentalis,no,5.3,Smith et al. 2003,"Gaudin 2003, Vizcaino 2009"
Holmesina paulacoutoi,no,5.1,Smith et al. 2003,"Gaudin 2003, Vizcaino 2009"
Pampatherium humboldtii,no,5.18,Smith et al. 2003,"Gaudin 2003, Vizcaino 2009"
Pampatherium typum,no,5.3,Smith et al. 2003,"Gaudin 2003, Vizcaino 2009"
Kraglievichia paranense,no,4.653,Brook & Bowman 2004,"Gaudin 2003, Vizcaino 2009"
Sarcophilus laniarius,no,4.08,Smith et al. 2003,placed sister to S. harrisi
Daubentonia robusta,yes,4.7,Brook & Bowman 2004,name given to fossil remains of D. madagascarensis according to Wilson & Reeder (2003)
Diprotodon minor,no,5.95,Smith et al. 2003,Black 2008
Diprotodon optatum,no,6.18,Smith et al. 2003,Black 2008
Euryzygoma dunese,no,5.7,Smith et al. 2003,Black 2008
Hulitherium thomasettii,yes,5.14,Smith et al. 2003,Black 2008
Kolopsis watutense,yes,5.48,Smith et al. 2003,Black 2008
Maokopia ronaldi,yes,5,Smith et al. 2003,Black 2008
Nototherium mitchelli,no,5.7,Smith et al. 2003,Black 2008
Zygomaturus trilobus,no,5.88,Smith et al. 2003,Black 2008
Boromys offella,yes,2.61,Turvey et al. 2007,Woods et al. 2001
Boromys torrei,yes,2.29,Turvey et al. 2007,Woods et al. 2001
Brotomys voratus,yes,2.86,Turvey et al. 2007,Woods et al. 2001
Heteropsomys insulans,yes,3.34,Turvey et al. 2007,Woods et al. 2001
Elephas namadicus,no,6.81,After measurements in Maglio (1973) it is apparent E.antiquus & E.namadicus were the same body size,"Thomas et al. 2000, Maglio 1973, Shoshani & Tassy 2005"
Elephas creutzburgi,yes,6.57,based on size ratio as reported in Raia & Meiri 2006,"Thomas et al. 2000, Maglio 1973, Shoshani & Tassy 2005"
Elephas cypriotes,yes,5.482,based on size ratio as reported in Raia & Meiri 2006,"Thomas et al. 2000, Maglio 1973, Shoshani & Tassy 2005"
Elephas mnaidriensis,yes,6.272,based on size ratio as reported in Raia & Meiri 2006,"Thomas et al. 2000, Maglio 1973, Shoshani & Tassy 2005"
Mammuthus lamarmorae,yes,5.812,based on size ratio as reported in Raia & Meiri 2006,"Thomas et al. 2000, Maglio 1973, Shoshani & Tassy 2005"
Palaeoloxodon naumanni,yes,6.348,estimated by using regression equations in Roth (1990) & average shoulder height of 225 cm reported in Kondo et al. 2001,"Thomas et al. 2000, Maglio 1973, Shoshani & Tassy 2005"
Elephas antiquus,no,6.81,"Meloro et al., 2007","Thomas et al. 2000, Maglio 1973, Shoshani & Tassy 2005"
Mammuthus columbi,no,6.9,Smith et al. 2003,"Thomas et al. 2000, Maglio 1973, Shoshani & Tassy 2005"
Mammuthus imperator,no,7,Smith et al. 2003,"Thomas et al. 2000, Maglio 1973, Shoshani & Tassy 2005"
Mammuthus primigenius,no,6.74,Smith et al. 2003,"Thomas et al. 2000, Maglio 1973, Shoshani & Tassy 2005"
Mammuthus exilis,yes,5.23,the cubed ratio of M.e. to Elephas falconeri's long bones multiplied by the estimated size of E.f.,"Thomas et al. 2000, Maglio 1973, Shoshani & Tassy 2005"
Onohippidium sp,no,5.49,Stromberg 2006,Stromberg 2006
Equus hydruntinus,no,5.32,"Meloro et al., 2007",Burke et al. 2003
Hippidion principale,no,5.71,Smith et al. 2003,Stromberg 2006
Hippidion saldiasi,no,5.42,Smith et al. 2003,Stromberg 2006
Homotherium serum,no,5.43,Brook & Bowman 2004,Slater & Van Valkenburgh 2004
Panthera atrox,no,5.63,Brook & Bowman 2004,Slater & Van Valkenburgh 2005
Miracinonyx trumani,no,4.94,Smith et al. 2003,Slater & Van Valkenburgh 2006
Smilodon fatalis,no,5.64,Smith et al. 2003,Slater & Van Valkenburgh 2007
Smilodon populator,no,5.65,Smith et al. 2003,Slater & Van Valkenburgh 2007
Giraffa gracilis,no,5.93,Smith et al. 2003,placed sister to G. camaleopardalis
