Continent,Species Distribution,Status,Order,FAMILY,Genus,Species,,LogMass,Combined Mass (g),Comments,Reference,IUCN status,comment,comment,Home Range Size,units for home range sizse,reference for home range
AUS,,introduction,Artiodactyla,Bovidae,Bos,javanicus,,5.677,475000.000,Introduction,59,,,,,,
AUS,,introduction,Artiodactyla,Bovidae,Bubalus,bubalis,,5.916,825000.000,Introduction,59,,,,,,
AUS,,introduction,Artiodactyla,Bovidae,Capra,hircus,,4.525,33500.000,Introduction,59,,,,,,
AUS,,introduction,Artiodactyla,Camelidae,Camelus,dromedarius,,5.903,800000.000,Introduction,59,,,,,,
AUS,,introduction,Artiodactyla,Cervidae,Axis,porcinus,,4.544,35000.000,Introduction,59,,,,,,
AUS,,introduction,Artiodactyla,Cervidae,Axis,axis,,4.842,69500.000,Introduction,59,,,,,,
AUS,,introduction,Artiodactyla,Cervidae,Cervus,timorensis,,4.799,63000.000,Introduction,59,,,,,,
AUS,,introduction,Artiodactyla,Cervidae,Cervus,elaphus,,5.077,119500.000,Introduction,59,,,,,,
AUS,,introduction,Artiodactyla,Cervidae,Cervus,unicolor,,5.228,169000.000,Introduction,59,,,,,,
AUS,,introduction,Artiodactyla,Cervidae,Dama,dama,,4.686,48500.000,Introduction,59,,,,,,
AUS,,introduction,Artiodactyla,Suidae,Sus,scrofa,,4.936,86250.000,Introduction,59,,,,,,
AUS,,introduction,Carnivora,Felidae,Felis,silvestris,,3.628,4250.000,introduction,59,,,,,,
AUS,,introduction,Lagomorpha,Leporidae,Oryctolagus,cuniculus,,3.199,1580.000,introduced,59,,,,,,
AUS,,introduction,Perissodactyla,Equidae,Equus,asinus,,5.512,325000.000,Introduction,59,,,,,,
AUS,,introduction,Rodentia,Muridae,Mus,musculus,,1.217,16.500,introduced,59,,,,,,
AUS,,introduction,Rodentia,Muridae,Rattus,rattus,,2.447,280.000,introduced,59,,,,,,
AUS,,introduction,Rodentia,Muridae,Rattus,norvegicus,,2.505,320.000,introduced,59,,,,,,
AUS,,introduced,Carnivora,Canidae,Vulpes,vulpes,,3.775,5950.000,,59,,,,,,
AF,,historical,Artiodactyla,Bovidae,Hippotragus,leucophaeus,bluebuck,5.176,150000.000,hunting,"2, 4",EX,,,,,
AF,,historical,Perissodactyla,Equidae,Equus,quagga,quagga,5.602,400000.000,REMOVE? now considered an extinct subspecies of the plains zebra,8,EX,,,,,
AF,,historical,Artiodactyla,Bovidae,Eudorcas,rufina,red gazelle ,4.602,40000.000,was Gazella rufina,"3, 4",EX,,,,,
AF,Togo,historical,Rodentia,Muridae,Leimacomys,buettneri,,1.740,55.000,unknown,"4, 70",DD,,,,,
AUS,,historical,Dasyuromorphia,Dasyuridae,Sarcophilus,harrisii,Tasmanian devil,4.000,10000.000,extirpated 3000 ybp,"13, 15, 59",,,,,,
AUS,,historical,Dasyuromorphia,Thylacinidae,Thylacinus,cynocephalus,Tasmanian tiger or wolf; thylacine,4.477,30000.000,hunting,"1, 3",EX,,,,,
AUS,"Australia, Queensland, Percy Isl",historical,Chiroptera,Pteropodidae,Pteropus,brunneus,Dusky Flying Fox ,2.301,200.000,,153,,,,,,
AUS,,historical,Diprotodontia,Potoroidae,Potorous,platyops,Broad-faced Potoroo,2.699,500.000,"cats, habitat alteration","3, 21",EX,,,,,
AUS,,historical,Diprotodontia,Macropodidae,Lagorchestes,leporides,Eastern Hare-wallaby,3.477,3000.000,"competition with sheep, cats, habitat alteration",3,EX,,,,,
AUS,,historical,Peramelemorphia,Peramelidae,Chaeropus,ecaudatus,Pig-footed Bandicoot,2.301,200.000,"intro of exotics, habitat alteration","3, 19",EX,,,,,
AUS,,historical,Diprotodontia,Macropodidae,Lagorchestes,asomatus,Lake Mackay Hare-wallaby; Central Hare-wallaby or Kuluwarri,3.176,1500.000,habitat alteration,59,EX,,,,,
AUS,,historical,Diprotodontia,Potoroidae,Caloprymnus,campestris,Desert Rat-kangaroo,2.954,900.000,"hunting, habitat alteration, invasion of predators","3, 20",EX,,,,,
