Taxon,Order,Family,Genus,Species,Equation,Predictor,Intercept,Slope,LnMass,m1L,m1W,otherL,otherW,MeasurementSource,Remarks
Agriochoerus_antiquus,Artiodactyla,Agriochoeridae,Agriochoerus,antiquus,Ungulates,m1LxW,3.757,1.516,10.94,12.5,9.13,NA,NA,Paleobiology Database,
Arretotherium_acridens,Artiodactyla,Anthracotheriidae,Arretotherium,acridens,Ungulates,m1LxW,3.757,1.516,12.1,19.6,12.5,NA,NA,Paleobiology Database,
Arretotherium_fricki,Artiodactyla,Anthracotheriidae,Arretotherium,fricki,Ungulates,m1LxW,3.757,1.516,11.84,19,10.9,NA,NA,Paleobiology Database,
Elomeryx_armatus,Artiodactyla,Anthracotheriidae,Elomeryx,armatus,Ungulates,m1LxW,3.757,1.516,11.97,18.5,12.2,NA,NA,Paleobiology Database,
Antilocapra_americana,Artiodactyla,Antilocapridae,Antilocapra,americana,Ungulates,m1LxW,3.757,1.516,10.3,12.5,6,NA,NA,Paleobiology Database,
Capromeryx_furcifer,Artiodactyla,Antilocapridae,Capromeryx,furcifer,Ungulates,m1LxW,3.757,1.516,9.38,8.53,4.78,NA,NA,Paleobiology Database,
Capromeryx_minor,Artiodactyla,Antilocapridae,Capromeryx,minor,Ungulates,m1LxW,3.757,1.516,8.81,7,4,NA,NA,Paleobiology Database,
Capromeryx_tauntonensis,Artiodactyla,Antilocapridae,Capromeryx,tauntonensis,Ungulates,m1LxW,3.757,1.516,9.67,9.29,5.33,NA,NA,Paleobiology Database,
Cosoryx_cerroensis,Artiodactyla,Antilocapridae,Cosoryx,cerroensis,Ungulates,m1LxW,3.757,1.516,9.73,8.45,6.1,NA,NA,Paleobiology Database,
Hexameryx_simpsoni,Artiodactyla,Antilocapridae,Hexameryx,simpsoni,Ungulates,m2L,2.366,3.076,10.33,NA,NA,13.3,NA,Janis and Manning 1998:499,m2L
Ilingoceros_sp,Artiodactyla,Antilocapridae,Ilingoceros,sp,Ungulates,m2L,2.366,3.076,10.8,NA,NA,15.5,NA,Janis and Manning 1998:498,m2L
Merriamoceros_coronatus,Artiodactyla,Antilocapridae,Merriamoceros,coronatus,Ungulates,m2L,2.366,3.076,9.63,NA,NA,10.6,NA,Janis and Manning 1998:496,m2L
Merycodus_sabulonis,Artiodactyla,Antilocapridae,Merycodus,sabulonis,Ungulates,m2L,2.366,3.076,9.26,NA,NA,9.4,NA,Janis and Manning 1998:496,m2L
Osbornoceros_osborni,Artiodactyla,Antilocapridae,Osbornoceros,osborni,Ungulates,M2L,2.475,3.004,9.76,NA,NA,11.3,NA,Janis and Manning 1998:497,M2L; m2L not available
Ottoceros_peacevalleyensis,Artiodactyla,Antilocapridae,Ottoceros,peacevalleyensis,Ungulates,m1LxW,3.757,1.516,9.51,9.15,4.85,NA,NA,Paleobiology Database,
